id,supplement_a_id,supplement_b_id,interaction_type,severity,description_en,description_de,recommendation_en,recommendation_de,timing_recommendation,evidence_level,sources,is_active,is_seed,created_at,updated_at,risk_categories,mechanism_en,mechanism_de,requires_monitoring,monitoring_parameters
83db0264-3751-4747-ade4-76dc50c9d227,4329dc82-a690-48b0-bea5-7d52546c67d9,42dea58d-2a6e-4559-9307-fb839288019b,synergy,info,ALA regenerates B-vitamins and enhances their activity in energy metabolism.,ALA regeneriert B-Vitamine und verstärkt ihre Aktivität im Energiestoffwechsel.,Good combination for energy and nerve health,Gute Kombination für Energie und Nervengesundheit,Take together,moderate,,true,true,2026-01-16 08:59:20.705229+00,2026-01-16 08:59:20.705229+00,[],,,false,[]
85053aa2-1f23-46f5-b275-dbdef061c9cb,706c9822-c122-4e3e-a924-0c66ba3900e4,dafebcab-4182-46bc-a460-6d102524e78f,synergy,info,Both have anti-inflammatory properties. Ginger may enhance curcumin absorption.,Beide haben entzündungshemmende Eigenschaften. Ingwer kann die Curcumin-Aufnahme verbessern.,Traditional Ayurvedic combination. Works well together.,Traditionelle ayurvedische Kombination. Wirkt gut zusammen.,Take together with meal,moderate,,true,true,2026-01-16 08:58:29.277849+00,2026-01-16 08:58:29.277849+00,[],,,false,[]
8a5789a3-5b00-42c8-99d1-0939914c4d49,53ce40fd-6294-4810-bda3-cc837391f082,abd26c8b-801a-44b2-804e-bfca01de504a,synergy,info,B12 and folate work together in methylation cycle. Deficiency in one affects the other.,B12 und Folat arbeiten zusammen im Methylierungszyklus. Mangel an einem beeinflusst das andere.,Often supplemented together in B-complex or methylation support,Oft zusammen in B-Komplex oder Methylierungs-Support supplementiert,Take together,high,,true,true,2026-01-16 08:58:53.538502+00,2026-01-16 08:58:53.538502+00,[],,,false,[]
8ce421b4-fd96-416d-9f76-fcb8f2bdf09d,e5b9b089-f28e-4798-85dd-7de5959066c5,449d959c-7127-41ee-9d45-518ce6ddb680,synergy,info,"Magnesium is required for vitamin D activation. Without adequate Mg, D3 remains inactive.",Magnesium wird für die Aktivierung von Vitamin D benötigt. Ohne ausreichend Mg bleibt D3 inaktiv.,Ensure adequate magnesium when supplementing D3,Bei D3-Supplementierung auf ausreichend Magnesium achten,Take at same meal,high,,true,true,2026-01-16 08:57:43.623542+00,2026-01-16 08:57:43.623542+00,[],,,false,[]
8d43d7b8-7ce7-44c6-a0f8-2aa149a150ed,4dd4bd49-9f3e-439f-8c0f-2c1a78a45cf8,af2969f2-651f-4d71-9e28-e906afd41506,absorption,caution,High dose zinc can interfere with iron absorption,Hochdosiertes Zink kann die Eisenaufnahme beeinträchtigen,Take at different meals,Zu verschiedenen Mahlzeiten einnehmen,Take 2 hours apart,moderate,,true,true,2025-12-02 01:36:15.08977+00,2025-12-02 01:36:15.08977+00,[],,,false,[]
95efcd65-ac23-454c-89f3-5c4da57fdd88,ffe884d6-c41e-422c-bec6-d2e0752d22f6,5b52e242-5deb-42fb-94c7-92827ede45ca,conflict,caution,Both have blood-thinning effects. Combined use may increase bleeding risk.,Beide haben blutverdünnende Wirkung. Kombinierte Einnahme kann Blutungsrisiko erhöhen.,Monitor for easy bruising. Stop before surgery.,Auf leichte Blutergüsse achten. Vor Operationen absetzen.,Use caution if combining,moderate,,true,true,2026-01-16 08:58:53.538502+00,2026-01-16 08:58:53.538502+00,[],,,false,[]
98fdfdd8-57b7-4b35-8f1c-6db99cebb38a,3e13693a-f6ea-4c2f-a925-a4fe62dcfe42,5b52e242-5deb-42fb-94c7-92827ede45ca,synergy,info,Both support cardiovascular health through different mechanisms. Fat enhances CoQ10 absorption.,Beide unterstützen die Herzgesundheit durch verschiedene Mechanismen. Fett verbessert CoQ10-Aufnahme.,Take CoQ10 with fish oil for better absorption,CoQ10 mit Fischöl für bessere Aufnahme einnehmen,Take together with meal,high,,true,true,2026-01-16 08:59:20.705229+00,2026-01-16 08:59:20.705229+00,[],,,false,[]
9b924509-7c10-4d74-abad-7885600dcfaf,0b2ba767-08f0-45ea-9802-9b1c24416da1,5f5f249b-7c81-4c7d-964d-49a6e944b15d,synergy,info,"L-Citrulline enhances blood flow, Beta-Alanine buffers lactic acid. Together: endurance boost.","L-Citrullin verbessert den Blutfluss, Beta-Alanin puffert Milchsäure. Zusammen: Ausdauer-Boost.",Popular pre-workout combination,Beliebte Pre-Workout-Kombination,Take 30min before workout,high,,true,true,2026-01-16 08:58:53.538502+00,2026-01-16 08:58:53.538502+00,[],,,false,[]
9bd73841-c4a6-4ce0-8669-488475ff887f,e5b9b089-f28e-4798-85dd-7de5959066c5,5b52e242-5deb-42fb-94c7-92827ede45ca,synergy,info,D3 is fat-soluble. Omega-3 provides fat for optimal absorption.,D3 ist fettlöslich. Omega-3 liefert Fett für optimale Aufnahme.,Take D3 with fish oil or fatty meal,D3 mit Fischöl oder fettreicher Mahlzeit einnehmen,Take together,high,,true,true,2026-01-16 08:59:20.705229+00,2026-01-16 08:59:20.705229+00,[],,,false,[]
a2eb95a3-0e25-4335-9614-84991e74b7cc,e80b4e30-86c8-4560-8ab7-c6e5314bb240,8a1d6def-c255-4baa-8cfc-33c690000345,absorption,caution,High-dose calcium interferes with zinc absorption. Separate if taking therapeutic doses.,Hochdosiertes Calcium stört die Zinkaufnahme. Bei therapeutischen Dosen getrennt einnehmen.,Separate by 2 hours if taking high doses,Bei hohen Dosen 2 Stunden Abstand einhalten,Separate by 2 hours,moderate,,true,true,2026-01-16 08:59:20.705229+00,2026-01-16 08:59:20.705229+00,[],,,false,[]
a5dd7bd2-a6f5-49c9-89c3-905a3a5d11e8,e5b9b089-f28e-4798-85dd-7de5959066c5,e80b4e30-86c8-4560-8ab7-c6e5314bb240,synergy,info,Vitamin D3 enhances calcium absorption in the intestines by up to 30-40%,Vitamin D3 erhöht die Calciumaufnahme im Darm um bis zu 30-40%,Take together for optimal bone health benefits,Zusammen einnehmen für optimale Knochengesundheit,Can be taken together,high,,true,true,2026-01-16 08:57:43.623542+00,2026-01-16 08:57:43.623542+00,[],,,false,[]
a75f0863-35ad-4867-a75d-51d3631efcca,5b52e242-5deb-42fb-94c7-92827ede45ca,62d9e428-ccb4-4cf9-8034-e79f3f0d3af3,synergy,info,"Vitamin E prevents oxidation of Omega-3 fatty acids, preserving their benefits",Vitamin E verhindert die Oxidation von Omega-3-Fettsäuren und erhält deren Vorteile,Quality fish oils often include vitamin E for stability,Hochwertige Fischöle enthalten oft Vitamin E für Stabilität,Take together,high,,true,true,2026-01-16 08:58:05.441226+00,2026-01-16 08:58:05.441226+00,[],,,false,[]
c383e45b-f4e9-44d8-8476-4d11b207be4f,e54ba3ab-9583-4d3e-9730-651a4dcd6c6e,e80b4e30-86c8-4560-8ab7-c6e5314bb240,timing,info,Insulin spike from carbs enhances creatine uptake into muscles,Insulin-Spitze durch Kohlenhydrate verbessert Kreatin-Aufnahme in die Muskeln,Take creatine with carb-containing meal or post-workout shake,Kreatin mit kohlenhydratreicher Mahlzeit oder Post-Workout-Shake einnehmen,Take with carbs,moderate,,true,true,2026-01-16 08:58:53.538502+00,2026-01-16 08:58:53.538502+00,[],,,false,[]
c6ceb1d5-5df2-44c1-983d-9a125d52b8df,8a1d6def-c255-4baa-8cfc-33c690000345,dd514218-a662-4ec1-b6f6-b4c04472ad47,absorption,warning,High-dose zinc depletes copper over time. Long-term zinc supplementation requires copper.,Hochdosiertes Zink erschöpft Kupfer über Zeit. Langfristige Zink-Supplementierung erfordert Kupfer.,Add copper (1-2mg) when taking zinc >30mg daily for extended periods,Bei Zink >30mg täglich über längere Zeit Kupfer (1-2mg) hinzufügen,Take at different times,high,,true,true,2026-01-16 08:57:43.623542+00,2026-01-16 08:57:43.623542+00,[],,,false,[]
d24ecd76-be5e-4c94-b0d4-c165c2146762,168773fb-3d48-4712-bf31-bf2319c543d8,6abbeee7-140d-4d1a-a264-a08e788d4198,synergy,info,L-Theanine smooths out caffeine effects: focused energy without jitters or crash,L-Theanin glättet die Koffeinwirkung: fokussierte Energie ohne Zittern oder Crash,Classic nootropic stack. Ratio 1:2 (caffeine:theanine),Klassischer Nootropic-Stack. Verhältnis 1:2 (Koffein:Theanin),Take together,high,,true,true,2026-01-16 08:58:05.441226+00,2026-01-16 08:58:05.441226+00,[],,,false,[]
df61a65f-dbcb-4ee7-8d76-90fdb432fe12,b9e895b7-58df-4824-b1bb-f975782e8e51,4c66f77c-7f8a-4d74-8854-819bda889872,synergy,info,"Ashwagandha reduces cortisol, melatonin initiates sleep. Complementary evening stack.","Ashwagandha reduziert Cortisol, Melatonin leitet Schlaf ein. Komplementärer Abend-Stack.",Take both 30-60min before bed for optimal sleep,Beide 30-60min vor dem Schlafengehen für optimalen Schlaf,Take together before bed,moderate,,true,true,2026-01-16 08:59:20.705229+00,2026-01-16 08:59:20.705229+00,[],,,false,[]
e90c93bd-b974-4e54-8e08-ccb40951ad28,46c9e35e-a256-4fac-96e7-54e3f2a567a7,a03f24d3-a5a9-4842-ad17-caedf84bdd21,synergy,info,"NAC and Vitamin C work together to boost glutathione production, the master antioxidant","NAC und Vitamin C arbeiten zusammen um die Glutathion-Produktion zu steigern, das Master-Antioxidans",Excellent combination for liver support and detox,Ausgezeichnete Kombination für Leberunterstützung und Entgiftung,Take together,moderate,,true,true,2026-01-16 08:58:29.277849+00,2026-01-16 08:58:29.277849+00,[],,,false,[]
fbb79991-5318-4742-b11b-4d4462c570ad,168773fb-3d48-4712-bf31-bf2319c543d8,b9e895b7-58df-4824-b1bb-f975782e8e51,conflict,warning,Caffeine blocks adenosine receptors and counteracts melatonin sleep-inducing effects,Koffein blockiert Adenosinrezeptoren und wirkt der schlaffördernden Wirkung von Melatonin entgegen,Avoid caffeine 6+ hours before melatonin for sleep,Koffein mindestens 6 Stunden vor Melatonin zur Schlafenszeit vermeiden,Separate by 6+ hours,high,,true,true,2026-01-16 08:58:05.441226+00,2026-01-16 08:58:05.441226+00,[],,,false,[]
