dataset             | record_key |           cls            |                                            ids                                             | prod_class | maps_to | concept |                                                                                                        claim                                                                                                        
 community_side_effect_patterns | 16         | beta2_agonist_fatloss    | ["sub_6239001af2"]                                                                         |            |         |         | 
 community_side_effect_patterns | 17         | beta2_agonist_fatloss    | ["sub_6239001af2"]                                                                         |            |         |         | 
 community_side_effect_patterns | 18         | mitochondrial_uncoupler  | ["sub_6a962fb8f9"]                                                                         |            |         |         | 
 community_side_effect_patterns | 19         | mitochondrial_uncoupler  | ["sub_6a962fb8f9"]                                                                         |            |         |         | 
 community_side_effect_patterns | 2          | aas_19nor                | ["sub_c5698497ea", "sub_45993d058e"]                                                       |            |         |         | 
 community_side_effect_patterns | 20         | gh_igf                   | ["sub_af9270ada9"]                                                                         |            |         |         | 
 community_side_effect_patterns | 21         | gh_secretagogues         | ["sub_af9270ada9", "sub_ecff0befbf", "sub_18fdc6c754", "sub_16306ba3e5"]                   |            |         |         | 
 community_side_effect_patterns | 22         | gh_secretagogues_oral    | ["sub_ecff0befbf"]                                                                         |            |         |         | 
 community_side_effect_patterns | 23         | gh_secretagogues_oral    | ["sub_ecff0befbf"]                                                                         |            |         |         | 
 community_side_effect_patterns | 24         | peptides_recovery_mito   | ["sub_d6690ba08f", "sub_dcb8ab1209", "sub_d4f140bc56", "sub_848a3aaf7f", "sub_16306ba3e5"] |            |         |         | 
 community_side_effect_patterns | 25         | gh_secretagogues         | ["sub_a1c4492d17", "sub_50a7fb5f3c", "sub_18fdc6c754", "sub_74cb0c22b1"]                   |            |         |         | 
 community_side_effect_patterns | 26         | melanocortins            | ["sub_15f568b407"]                                                                         |            |         |         | 
 community_side_effect_patterns | 27         | melanocortins            | ["sub_15f568b407"]                                                                         |            |         |         | 
 community_side_effect_patterns | 28         | melanocortins            | ["sub_36d3652f3c"]                                                                         |            |         |         | 
 community_side_effect_patterns | 29         | sarms                    | ["sub_5baffd3a06"]                                                                         |            |         |         | 
 community_side_effect_patterns | 3          | aas_19nor                | ["sub_c5698497ea"]                                                                         |            |         |         | 
 community_side_effect_patterns | 30         | sarms                    | ["sub_a4deb37c4d", "sub_a407e3597e", "sub_0f74726dcf", "sub_5baffd3a06"]                   |            |         |         | 
 community_side_effect_patterns | 31         | nootropic_peptides       | ["sub_4d6afb6227", "sub_5959e28c02"]                                                       |            |         |         | 
 community_side_effect_patterns | 32         | recovery_peptides        | ["sub_dcb8ab1209", "sub_d4f140bc56"]                                                       |            |         |         | 
 community_side_effect_patterns | 33         | aas_injectable_ugl       | ["drug_e8c13f9d2e", "sub_76a195461d"]                                                      |            |         |         | 
 community_side_effect_patterns | 34         | aas                      | ["drug_e8c13f9d2e", "sub_74bd69be0e", "sub_af6dd9482e"]                                    |            |         |         | 
 community_side_effect_patterns | 35         | aas                      | ["drug_e8c13f9d2e"]                                                                        |            |         |         | 
 community_side_effect_patterns | 36         | serm_ai_ancillaries      | ["sub_7504c16f98", "drug_e8fd0bad76", "sub_58c39bb945"]                                    |            |         |         | 
 community_side_effect_patterns | 4          | aas_19nor                | ["sub_c5698497ea", "sub_45993d058e"]                                                       |            |         |         | 
 community_side_effect_patterns | 5          | aas                      | ["sub_c5698497ea", "sub_45993d058e", "drug_e8c13f9d2e"]                                    |            |         |         | 
 community_side_effect_patterns | 6          | aas                      | ["drug_e8c13f9d2e", "sub_c5698497ea", "sub_9132da9055", "sub_af6dd9482e"]                  |            |         |         | 
 community_side_effect_patterns | 7          | aas_dht_derivate         | ["sub_c5698497ea", "sub_25fa4abc12", "sub_48f8d08104", "drug_e8c13f9d2e"]                  |            |         |         | 
 community_side_effect_patterns | 8          | aas_aromatisierend_19nor | ["drug_e8c13f9d2e", "sub_9132da9055", "sub_77b68a4df6", "sub_be89b6f179"]                  |            |         |         | 
 community_side_effect_patterns | 9          | oral_aas_17aa            | ["sub_a04faae7b6", "sub_be89b6f179", "sub_9132da9055", "sub_0104564af5"]                   |            |         |         | 
 community_terminology_terms    | 0          |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 1          |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 10         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 11         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 12         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 13         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 14         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 15         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 16         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 17         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 18         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 19         |                          |                                                                                            |            |         |         | 
 community_terminology_terms    | 2          |                          |                                                                                            |            |         |         | 
(80 rows)
