id,name,name_de,slug,category,subcategory,description,benefits,typical_dose,dose_unit,dose_min,dose_max,best_timing,requires_cycling,cycling_protocol,interactions,contraindications,is_active,deleted_at,is_seed,created_at,updated_at,i18n,default_dose,default_unit,default_timing,take_with_food,take_with_fat,take_empty_stomach,timing_notes,avoid_with,cycling_recommended,cycle_on_weeks,cycle_off_weeks,nutrients_provided,form,side_effects,allergy_flags,priority,is_enhanced,half_life_hours,detection_time_days,concentration,min_dose,max_dose,is_17aa,is_stimulant,suppression_level,hepatotoxicity_level,cardiovascular_risk,affects_axes,organ_stress,safety_tags,active_compound_key,aliases,classes,prolactin_risk,neuro_risk,glucose_risk,diuretic_type,insulin_type,hpta_suppression
035912a1-1862-42b4-b854-caa0f7f4556d,Epistane (Methylepitiostanol),,epistane,steroid_oral,,"Designer steroid. DHT derivative. Dry gains. Anti-estrogenic. 4-6 weeks.

Administration: Split into 2-3 doses.
Route: oral",,,mg,30,60,,false,,"[""Anti-estrogenic effect""]","[""Joint issues"",""Liver disease""]",true,,true,2025-12-03 05:09:21.312901+00,2026-01-25 07:09:17.88727+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Moderate liver stress"",""Joint dryness"",""Lipid impact"",""Dry gains""]",[],nice_to_have,true,6,21,10 mg/tab,,,true,false,none,moderate,none,[],{},[],epistane,[],"[""17aa"",""androgen"",""oral_steroid"",""prohormone"",""dry_compound""]",none,none,none,none,none,shutdown
03756bce-8eb5-4b9b-bc27-a13802a23bc9,LL-37,,ll37,peptide,,"Human cathelicidin antimicrobial peptide. Infection fighting properties.

Administration: SC. Used for infection support.
Route: subcutaneous",,,mcg,50,100,,false,,"[""Natural antimicrobial"",""Infection fighting""]","[""Autoimmune conditions""]",true,,true,2025-12-03 05:13:43.713849+00,2026-01-25 09:54:00.425952+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},lyophilized_vial,"[""Antimicrobial peptide"",""Injection site reaction possible""]",[],nice_to_have,true,0,0,5 mg/vial,,,false,false,none,none,none,[],{},[],,[],"[""HEALING_PEPTIDE""]",none,none,none,none,none,none
039c1656-d741-49e8-8e23-4fa4075966d3,HGH Fragment 176-191,,hgh-frag-176-191,hgh_gh_mimetic,,"Fat burning fragment of HGH. No anabolic effects. No blood sugar impact. Fasted use.

Administration: SC fasted. Split doses morning and before bed. 5 days on 2 off optional.
Route: subcutaneous",,,mcg,500,1000,,false,,"[""No insulin resistance"",""Fat specific""]","[""None significant""]",true,,true,2025-12-03 05:14:23.986558+00,2026-01-25 09:50:02.715398+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},lyophilized_vial,"[""No typical HGH sides"",""Fat loss specific"",""Well tolerated""]",[],nice_to_have,true,0.5,0,5 mg/vial,,,false,false,none,none,none,"[""gh_igf""]",{},"[""gh_axis""]",,[],"[""HGH_FRAGMENT""]",none,none,none,none,none,none
044e3e50-bab8-4edd-94c6-0a38d8567b9f,6-OXO,,6oxo,estrogen_control,,"Older suicidal AI supplement. Less common now.

Administration: Oral. Historical compound.
Route: oral",,,mg,200,600,,false,,"[""Older AI supplement""]","[""Discontinued mostly""]",true,,true,2025-12-03 05:16:15.742572+00,2026-01-25 07:09:53.636823+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Suicidal AI"",""Natural product derived""]",[],nice_to_have,true,0,0,100 mg/cap,,,false,false,none,none,none,[],{},[],6oxo,[],"[""aromatase_inhibitor"",""suicide_inhibitor"",""otc"",""moderate_ai""]",none,none,none,none,none,none
049bf029-4a49-4aab-a231-312bb127fd51,Humic Acid,,humic-acid,mineral,trace,,,,,,1500,,false,,"[""May affect medication absorption""]",,true,,true,2025-12-03 05:03:33.550365+00,2025-12-03 05:03:33.550365+00,{},500,mg,"[""morning""]",false,false,false,Humic/fulvic complex,,false,,,{},capsule,"[""Soil-derived minerals"",""Detox effects possible""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
04bb4a72-5192-4b1e-9bbd-671df2928e84,Sermorelin,,sermorelin,peptide,,"Original GHRH analog. Often prescribed by anti-aging clinics. Well tolerated.

Administration: SC before bed to augment natural GH pulse.
Route: subcutaneous",,,mcg,200,500,,false,,"[""Oldest GHRH analog"",""Often prescribed for anti-aging""]","[""Active cancer""]",true,,true,2025-12-03 05:13:43.713849+00,2026-01-25 09:50:08.560321+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},lyophilized_vial,"[""Well tolerated"",""Injection site reaction"",""Headache""]",[],nice_to_have,true,0.5,0,2 mg/vial,,,false,false,none,none,none,[],{},[],,[],"[""GHRH"",""GH_SECRETAGOGUE""]",none,none,low,none,none,none
04cb679b-6168-47f8-a93b-4f9f98edcc13,Methyl B12 (Methylcobalamin),,methyl-b12-methylcobalamin,vitamin,b_vitamin,,,,,,5000,,false,,"[""Metformin may deplete B12"",""PPIs reduce absorption""]",,true,,true,2025-12-03 04:46:17.239767+00,2025-12-03 05:34:49.3738+00,{},1000,mcg,"[""morning""]",false,false,false,Sublingual form for better absorption,,false,,,"{""vitamin_b12"":{""unit"":""µg"",""amount"":1000}}",lozenge,"[""Very safe even at high doses"",""May cause acne in some""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0506b49c-be05-4f9c-955b-630c68be5a72,Pre-Workout (Stim-Free),,pre-workout-stim-free,blend,preworkout,,,,,,2,,false,,"[""May enhance blood flow""]",,true,,true,2025-12-03 05:02:14.735197+00,2025-12-03 05:02:14.735197+00,{},1,scoop,"[""morning""]",false,false,false,Non-stimulant pump formula,,false,,,"{""citrulline"":{""unit"":""g"",""amount"":8},""beta_alanine"":{""unit"":""g"",""amount"":3.2}}",powder,"[""Tingling from beta-alanine"",""No caffeine crash""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
05ccbe62-7f9d-44a1-9eb7-2dcd4f321ef1,Dandelion Root,,dandelion-root,liver,liver,,,,,,2000,,false,,"[""May increase diuresis"",""May affect blood sugar""]",,true,,true,2025-12-03 04:54:24.66329+00,2025-12-03 04:54:24.66329+00,{},500,mg,"[""morning""]",true,false,false,Traditional liver tonic,,false,,,{},capsule,"[""May cause digestive upset"",""Allergic reaction if ragweed allergy""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
063ea9fc-9728-4f5c-be7b-c3fe36295458,Adaptogen Blend,,adaptogen-blend,greens,superfood,,,,,,2,,false,,"[""Multiple adaptogen interactions""]",,true,,true,2025-12-03 04:59:05.828233+00,2025-12-03 04:59:05.828233+00,{},1,capsule,"[""morning""]",true,false,false,Combined adaptogens - check formula,,false,,,{},capsule,"[""Depends on ingredients"",""Energy or calm depending on formula""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
069beba0-2ef8-4f2b-8085-b4a8d3697adc,Chrysin,,chrysin,estrogen_control,,"Flavonoid with theoretical AI activity. Very poor oral bioavailability. Likely ineffective.

Administration: Oral. Probably not worth using due to bioavailability.
Route: oral",,,mg,500,1500,,false,,"[""Flavonoid"",""Poor bioavailability""]","[""None - but ineffective""]",true,,true,2025-12-03 05:16:15.742572+00,2026-01-25 07:09:17.88727+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Very poor absorption"",""Theoretical AI"",""Ineffective orally""]",[],nice_to_have,true,0,0,500 mg/cap,,,false,false,none,none,none,[],{},[],chrysin,[],"[""aromatase_inhibitor"",""natural"",""weak_ai"",""flavonoid""]",none,none,none,none,none,none
06a29984-edc6-4f03-a669-179d1d4f2a4e,Red Yeast Rice,,red-yeast-rice,health,heart,,,,,,1200,,false,,"[""Same interactions as statins"",""May affect liver""]",,true,,true,2025-12-03 05:00:20.524451+00,2025-12-03 05:00:20.524451+00,{},600,mg,"[""morning""]",true,false,false,Natural statin source - monitor liver,,false,,,{},capsule,"[""Contains natural statins"",""May cause muscle pain""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
078f7971-e836-4e12-b1bd-ed7624c705d0,Polypodium Leucotomos,,polypodium-leucotomos,beauty,sun_protection,,,,,,480,,false,,"[""No significant interactions""]",,true,,true,2025-12-03 04:55:20.115401+00,2025-12-03 04:55:20.115401+00,{},240,mg,"[""morning""]",true,false,false,Oral sun protection support - fern extract,,false,,,{},capsule,"[""Generally well tolerated"",""Does not replace sunscreen""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
07bd1b29-0fc5-4373-93a6-a653757630e0,L-Ornithine,,l-ornithine,amino_acid,non_essential,,,,,,3000,,false,,"[""Often combined with arginine""]",,true,,true,2025-12-03 04:47:42.40707+00,2025-12-03 04:47:42.40707+00,{},500,mg,"[""morning""]",false,false,false,Urea cycle support - ammonia detox,,false,,,"{""ornithine"":{""unit"":""mg"",""amount"":500}}",capsule,"[""May cause digestive upset at high doses"",""Generally well tolerated""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
086e8d06-4a17-4c8e-ab17-9e8435b3d027,PT-141 (Bremelanotide),,pt141,peptide,,"FDA approved for female HSDD. Works centrally. Nausea common. Use 30-60min before activity.

Administration: SC 30-60min before. Max twice weekly. Nausea management important.
Route: subcutaneous",,,mg,1,2,,false,,"[""Sexual function"",""Works in brain not periphery""]","[""Cardiovascular disease"",""Uncontrolled hypertension""]",true,,true,2025-12-03 05:13:43.713849+00,2026-01-25 09:54:09.560254+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},lyophilized_vial,"[""Nausea significant"",""Flushing"",""FDA approved for HSDD""]",[],nice_to_have,true,4,0,10 mg/vial,,,false,false,none,none,none,[],{},[],,[],"[""MELANOCORTIN""]",none,none,none,none,none,none
08acfb49-a6c1-4fc2-8713-4e471989d0ff,Pramiracetam,,pramiracetam,nootropic,cognitive,,,,,,600,,false,,"[""High affinity for choline uptake""]",,true,,true,2025-12-03 04:58:27.35953+00,2025-12-03 04:58:27.35953+00,{},300,mg,"[""morning""]",true,false,false,Fat soluble - high potency racetam,,false,,,{},capsule,"[""Headaches - needs choline"",""Fat soluble""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
08d963b4-887d-4f48-b254-fe4d545d0728,Nicotinamide (Niacinamide),,nicotinamide,anti_aging,nad,,,,,,1500,,false,,"[""May affect liver at very high doses""]",,true,,true,2025-12-03 04:53:38.295102+00,2026-01-16 13:56:05.683086+00,{},500,mg,"[""morning""]",false,false,false,Niacin without flush - NAD precursor,,false,,,"{""vitamin_b3"":{""unit"":""mg"",""amount"":500}}",capsule,"[""Generally well tolerated"",""No flushing like niacin""]",[],nice_to_have,false,,,,14,35,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
093a1aba-2e4e-4041-99a4-f808daea64b6,5-HTP (5-Hydroxytryptophan),,5-htp,amino_acid,non_essential,,,,,,300,,false,,"[""CRITICAL: Do not combine with SSRIs/MAOIs"",""Serotonin syndrome risk"",""Wait period required""]",,true,,true,2025-12-03 04:47:42.40707+00,2025-12-03 04:47:42.40707+00,{},100,mg,"[""morning""]",true,false,false,Direct serotonin precursor - stronger than tryptophan,,false,,,{},capsule,"[""May cause nausea"",""Vivid dreams possible""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
09e41604-db0a-4135-85f3-0f9624a571da,Ox Bile Extract,,ox-bile-extract,enzyme,gut,,,,,,1500,,false,,"[""For those without gallbladder"",""Take with fatty meals""]",,true,,true,2025-12-03 04:49:04.230964+00,2025-12-03 04:49:04.230964+00,{},500,mg,"[""morning""]",true,false,false,Fat digestion support,,false,,,{},capsule,"[""May cause loose stools"",""Digestive upset possible""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
09f7d9d5-6a11-429e-979b-4fb3da41c6c1,Bacopa Monnieri,,bacopa-monnieri,adaptogen,cognitive,,,,,,600,,false,,"[""May interact with thyroid medications"",""May affect acetylcholine""]",,true,,true,2025-12-03 04:49:36.725988+00,2025-12-03 04:49:36.725988+00,{},300,mg,"[""morning""]",true,false,false,Memory herb - takes 8-12 weeks for effect,,false,,,{},capsule,"[""May cause digestive upset"",""Fatigue initially common"",""Dry mouth""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0a03b78c-9936-49dc-abec-7bab464b99d6,Mucuna Pruriens (L-DOPA),,mucuna-pruriens,adaptogen,mood,,,,,,1500,,false,,"[""Contains L-DOPA - interact with Parkinsons meds"",""May affect blood pressure""]",,true,,true,2025-12-03 04:49:36.725988+00,2025-12-03 04:49:36.725988+00,{},500,mg,"[""morning""]",true,false,false,Natural L-DOPA source - mood and motivation,,true,,,{},capsule,"[""Nausea possible"",""Headaches"",""May cause vivid dreams""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0a355b73-1f40-41c1-a928-e9486562d45b,Magnesium Citrate,,magnesium-citrate,mineral,electrolyte,,,,,,800,,false,,"[""May reduce antibiotic absorption"",""Space from other minerals""]",,true,,true,2025-12-03 04:46:47.121758+00,2025-12-03 04:46:47.121758+00,{},400,mg,"[""morning""]",true,false,false,Good general-purpose form,,false,,,"{""magnesium"":{""unit"":""mg"",""amount"":400}}",capsule,"[""May cause loose stools"",""Better absorbed than oxide""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0a564928-44e1-4c9f-9009-6cf0828a7c38,Spermidine,,spermidine,anti_aging,autophagy,,,,,,5,,false,,"[""May enhance autophagy""]",,true,,true,2025-12-03 04:53:38.295102+00,2025-12-03 04:53:38.295102+00,{},1,mg,"[""morning""]",false,false,false,Autophagy inducer - from wheat germ,,false,,,{},capsule,"[""Generally well tolerated"",""Research ongoing""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0ae4ae0a-a819-4a3f-9522-3f15cb62f385,Formestane,,formestane,estrogen_control,,"Injectable suicidal AI. Mostly discontinued. Historical interest.

Administration: IM or SC weekly.
Route: subcutaneous",,,mg,100,250,,false,,"[""Injectable AI"",""Historical compound""]","[""Discontinued mostly""]",true,,true,2025-12-03 05:16:15.742572+00,2026-01-25 07:09:53.636823+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},injectable,"[""Injection site pain"",""Older AI"",""Suicidal inhibitor""]",[],nice_to_have,true,0,0,100 mg/ml,,,false,false,none,none,none,[],{},[],formestane,[],"[""aromatase_inhibitor"",""steroidal"",""suicide_inhibitor"",""pharmaceutical"",""strong_ai""]",none,none,none,none,none,none
0b14e294-5fcd-4bed-b369-6342faaf4059,Ephedrine,,ephedrine,fat_burner,,"Classic fat burner. Part of ECA stack. Prescription/controlled in many countries.

Administration: Oral 3x daily. Often stacked with caffeine and aspirin (ECA).
Route: oral",,,mg,25,75,,false,,"[""ECA stack classic"",""Synergy with caffeine""]","[""Heart conditions"",""Hypertension"",""Anxiety""]",true,,true,2025-12-03 05:18:33.36059+00,2026-01-21 09:57:02.962487+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},oral,"[""Stimulant"",""Heart rate increase"",""BP increase"",""Insomnia"",""Appetite suppression""]",[],nice_to_have,true,6,0,25 mg/tab,,,false,true,none,none,moderate,[],{},"[""stimulant""]",,[],[],none,none,none,none,none,none
0b2ba767-08f0-45ea-9802-9b1c24416da1,L-Citrulline,L-Citrullin,l-citrulline,amino,non_essential,Converts to L-arginine in kidneys. Enhances nitric oxide production better than arginine supplements.,"[""Enhanced blood flow"",""Better pumps"",""Reduced fatigue"",""Lower blood pressure""]",6-8g,g,3,10,"[""pre_workout""]",false,,,,true,,true,2025-11-28 10:14:59.054147+00,2025-12-03 11:27:19.732626+00,"{""de"":{""name"":""L-Citrullin"",""benefits"":[""Verbesserter Blutfluss"",""Besserer Pump"",""Reduzierte Ermüdung"",""Niedrigerer Blutdruck""],""description"":""Wird in den Nieren zu L-Arginin umgewandelt. Verbessert die Stickoxidproduktion besser als Arginin-Supplements.""},""th"":{""name"":""แอล-ซิทรูลีน"",""benefits"":[""เพิ่มการไหลเวียนเลือด"",""ปั๊มกล้ามเนื้อดีขึ้น"",""ลดความเหนื่อยล้า"",""ลดความดันโลหิต""],""description"":""เปลี่ยนเป็น L-อาร์จินีนในไต เพิ่มการผลิตไนตริกออกไซด์ได้ดีกว่าอาหารเสริมอาร์จินีน""}}",6,g,"[""morning""]",false,false,false,,,false,,,"{""citrulline"":{""unit"":""g"",""amount"":6}}",capsule,[],[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0bdd59de-7bbc-40aa-a25e-cd1e57534244,Multi-Strain Probiotic 50B,,probiotic-50b-multi,probiotic,gut,,,,,,2,,false,,"[""Take away from antibiotics"",""Immunocompromised should consult doctor""]",,true,,true,2025-12-03 04:49:04.230964+00,2025-12-03 04:49:04.230964+00,{},1,capsule,"[""morning""]",false,false,false,50 billion CFU - refrigerate for potency,,false,,,{},capsule,"[""Initial bloating/gas normal"",""Die-off symptoms possible""]","[""dairy""]",top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0c0c2f3e-4932-4e32-a168-5c293a645099,Saizen,,saizen,hgh_gh_mimetic,,"Merck pharma HGH. Multiple delivery options.

Administration: SC. Various delivery devices available.
Route: subcutaneous",,,IU,2,6,,false,,"[""Same as HGH""]","[""Same as HGH""]",true,,true,2025-12-03 05:14:23.986558+00,2026-01-25 09:47:43.07544+00,{},,mg,"[""morning""]",false,false,false,,,false,,,{},lyophilized_vial,"[""Same as HGH""]",[],nice_to_have,true,4,14,8.8 mg/vial,,,false,false,none,none,none,"[""gh_igf""]",{},"[""gh_axis""]",,[],"[""HGH""]",none,none,moderate,none,none,none
0cd74d4a-3785-4eae-8bb2-e065e19aeff9,L-Tyrosine,,l-tyrosine,amino_acid,conditionally_essential,,,,,,2000,,false,,"[""May interact with thyroid meds"",""May interact with MAOIs"",""May affect levodopa""]",,true,,true,2025-12-03 04:47:42.40707+00,2025-12-03 04:47:42.40707+00,{},500,mg,"[""morning""]",false,false,false,Dopamine precursor - focus support,,false,,,"{""tyrosine"":{""unit"":""mg"",""amount"":500}}",capsule,"[""May cause headaches"",""May increase anxiety in some""]",[],top_needed,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0d136295-70c7-4fb4-9797-8355bcd80732,Racetam Stack (Piracetam+Aniracetam),,racetam-stack,nootropic,cognitive,,,,,,2,,false,,"[""Combined racetam effects""]",,true,,true,2025-12-03 04:58:27.35953+00,2025-12-03 04:58:27.35953+00,{},1,capsule,"[""morning""]",true,false,false,Combined racetams - needs choline source,,false,,,{},capsule,"[""Needs choline"",""Headaches without choline""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
0dbcc633-7e85-45b9-86c6-1d9903d60af5,Pine Bark Extract (Pycnogenol),,pycnogenol,beauty,antioxidant,,,,,,200,,false,,"[""May affect blood clotting"",""May interact with immunosuppressants""]",,true,,true,2025-12-03 04:55:20.115401+00,2025-12-03 04:55:20.115401+00,{},100,mg,"[""morning""]",true,false,false,French maritime pine - circulation and skin,,false,,,{},capsule,"[""Generally well tolerated"",""GI upset rare""]",[],nice_to_have,false,,,,,,false,false,none,none,none,[],{},[],,[],[],none,none,none,none,none,none
